"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","main_cue","condition","cue_guess","view_history","rt","stimulus","response","test_trial","correct_choice","prompt_label","choices","suffix","gender","view","is_fixation","attention_check","correct","typed_response","expected_label","task","correct_response"
"true","false","[]","[]","[]","preload","0","14","0.0-0.0","view","long","Bigger than the person = rik. Smaller = rul? Or maybe the other way around, I kind of realized something like this was going on once I already started round 2.","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","5816","0.0-1.0","view","long","Bigger than the person = rik. Smaller = rul? Or maybe the other way around, I kind of realized something like this was going on once I already started round 2.","[{""page_index"":0,""viewing_time"":5800}]","5801","","","","","","","","","","","","","","","",""
"","","","","","instructions","2","16103","0.0-2.0","view","long","Bigger than the person = rik. Smaller = rul? Or maybe the other way around, I kind of realized something like this was going on once I already started round 2.","[{""page_index"":0,""viewing_time"":10286}]","10286","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","22707","0.0-3.0-0.0","view","long","Bigger than the person = rik. Smaller = rul? Or maybe the other way around, I kind of realized something like this was going on once I already started round 2.","","6602","
          <style>
            .quote-box {
              border: 2px solid #ccc;
              padding: 16px;
              margin: 20px auto;
              border-radius: 8px;
              background-color: #ffffff;
              text-align: center;
            }
            .stimuli-image {
              display: block;
              margin: 10px auto;
              max-height: 150px;
            }
            .button-spacing {
              margin-top: 30px;
            }
          </style>

          <div style=""display: flex; align-items: center;"">
            <div style=""flex: 1; padding-right: 20px;"">
              <div class=""quote-box"">
                <p>This is called <strong>Mox</strong>.</p>
                <img src=""stimuli/small_boat.jpg"" class=""stimuli-image"">
              </div>

              <p style=""text-align: center;"">What is this called?</p>

              <div class=""quote-box"">
                <img src=""stimuli/large_boat.png"" class=""stimuli-image"">
              </div>

              <div class=""button-spacing""></div>
            </div>

            <div style=""flex-shrink: 0; width: 180px; height: 250px; display: flex; align-items: center; justify-content: center;"">
            <img src=""interlocutor/adult_male_side.png"" style=""width: 100%; height: 100%; object-fit: contain;"" />
            </div>
        ","1","false","Moxrul","Mox","[""Moxrik"",""Moxrul""]","rul","male","side","false","false","true","","","",""
"","","","","","html-keyboard-response","4","23218","0.0-4.0","view","long","Bigger than the person = rik. Smaller = rul? Or maybe the other way around, I kind of realized something like this was going on once I already started round 2.","","null","<div style=""font-size: 48px;"">+</div>","null","","","","","","","","true","","","","","",""
"","","","","","html-button-response","5","29341","0.0-5.0-0.0","view","long","Bigger than the person = rik. Smaller = rul? Or maybe the other way around, I kind of realized something like this was going on once I already started round 2.","","6122","
          <style>
            .quote-box {
              border: 2px solid #ccc;
              padding: 16px;
              margin: 20px auto;
              border-radius: 8px;
              background-color: #ffffff;
              text-align: center;
            }
            .stimuli-image {
              display: block;
              margin: 10px auto;
              max-height: 150px;
            }
            .button-spacing {
              margin-top: 30px;
            }
          </style>

          <div style=""display: flex; align-items: center;"">
            <div style=""flex: 1; padding-right: 20px;"">
              <div class=""quote-box"">
                <p>This is called <strong>Ibo</strong>.</p>
                <img src=""stimuli/daisy_adult.png"" class=""stimuli-image"">
              </div>

              <p style=""text-align: center;"">What is this called?</p>

              <div class=""quote-box"">
                <img src=""stimuli/daisy_small.png"" class=""stimuli-image"">
              </div>

              <div class=""button-spacing""></div>
            </div>

            <div style=""flex-shrink: 0; width: 180px; height: 250px; display: flex; align-items: center; justify-content: center;"">
            <img src=""interlocutor/child_male.png"" style=""width: 100%; height: 100%; object-fit: contain;"" />
            </div>
        ","0","false","Iborik","Ibo","[""Iborik"",""Iborul""]","rik","male","front","false","false","true","","","",""
"","","","","","html-keyboard-response","6","29858","0.0-6.0","view","long","Bigger than the person = rik. Smaller = rul? Or maybe the other way around, I kind of realized something like this was going on once I already started round 2.","","null","<div style=""font-size: 48px;"">+</div>","null","","","","","","","","true","","","","","",""
"","","","","","html-button-response","7","35163","0.0-7.0-0.0","view","long","Bigger than the person = rik. Smaller = rul? Or maybe the other way around, I kind of realized something like this was going on once I already started round 2.","","5304","
          <style>
            .quote-box {
              border: 2px solid #ccc;
              padding: 16px;
              margin: 20px auto;
              border-radius: 8px;
              background-color: #ffffff;
              text-align: center;
            }
            .stimuli-image {
              display: block;
              margin: 10px auto;
              max-height: 150px;
            }
            .button-spacing {
              margin-top: 30px;
            }
          </style>

          <div style=""display: flex; align-items: center;"">
            <div style=""flex: 1; padding-right: 20px;"">
              <div class=""quote-box"">
                <p>This is called <strong>Dan</strong>.</p>
                <img src=""stimuli/bokchoy_adult_01.png"" class=""stimuli-image"">
              </div>

              <p style=""text-align: center;"">What is this called?</p>

              <div class=""quote-box"">
                <img src=""stimuli/bokchoy_child_01.png"" class=""stimuli-image"">
              </div>

              <div class=""button-spacing""></div>
            </div>

            <div style=""flex-shrink: 0; width: 180px; height: 250px; display: flex; align-items: center; justify-content: center;"">
            <img src=""interlocutor/child_male.png"" style=""width: 100%; height: 100%; object-fit: contain;"" />
            </div>
        ","0","false","Danrik","Dan","[""Danrik"",""Danrul""]","rik","male","front","false","false","true","","","",""
"","","","","","html-keyboard-response","8","35664","0.0-8.0","view","long","Bigger than the person = rik. Smaller = rul? Or maybe the other way around, I kind of realized something like this was going on once I already started round 2.","","null","<div style=""font-size: 48px;"">+</div>","null","","","","","","","","true","","","","","",""
"","","","","","survey-text","9","41212","0.0-9.0-0.0","view","long","Bigger than the person = rik. Smaller = rul? Or maybe the other way around, I kind of realized something like this was going on once I already started round 2.","","5544","","{""Q0"":""Danrik""}","","","","","","","","","true","true","danrik","danrik","",""
